investor_name,investment_year,investment_type,investment_amount
Bob,2022,Bonds,8005
Eva,2019,Stocks,5378.7
Oliver,2015,Stocks,38489.48
Sophia,2010,Stocks,15102.13
David,2014,Bonds,19585.84
Sara,2014,Stocks,1570.35
Alice,2011,Mutual Funds,1603.67
Oliver,2015,Mutual Funds,11239.78
Michael,2022,Stocks,38123.3
David,2017,Bonds,28949
Eva,2021,Mutual Funds,49234.43
Oliver,2017,Bonds,39652.59
Emma,2017,Real Estate,2342.56
Michael,2014,Bonds,46180.72
Oliver,2019,Real Estate,25994.12
Eva,2012,Stocks,34277.41
Sophia,2020,Bonds,22403.29
John,2017,Stocks,24589.57
Sara,2022,Stocks,48530.52
Emma,2019,Stocks,35740.3
Eva,2015,Real Estate,11655.2
Sara,2015,Stocks,30484.24
Eva,2011,Bonds,4551.56
Alice,2020,Real Estate,29820.91
Sophia,2020,Mutual Funds,7067.73
Emma,2019,Real Estate,25761.56
Alice,2015,Mutual Funds,44722.59
Sara,2019,Stocks,9201.1
Sara,2020,Mutual Funds,11265.46
Alice,2013,Real Estate,21510.01
Bob,2020,Bonds,13542.97
Michael,2016,Real Estate,30431.94
Emma,2017,Stocks,4575.61
Emma,2014,Bonds,21930.73
John,2011,Bonds,4707.25
Sophia,2010,Mutual Funds,10264.99
Bob,2019,Mutual Funds,22362.7
Alice,2011,Stocks,29632.89
Emma,2017,Stocks,35893.59
Michael,2013,Bonds,9648.49
Bob,2012,Real Estate,33684.98
Michael,2017,Real Estate,35562.2
Sara,2018,Mutual Funds,37882.21
Bob,2019,Stocks,8152.13
Alice,2018,Real Estate,36052.86
Eva,2017,Real Estate,21989.5
Michael,2017,Real Estate,30539.19
Michael,2020,Real Estate,11218.08
Sophia,2019,Real Estate,39844.18
Sara,2021,Mutual Funds,19935.93
Sophia,2016,Mutual Funds,12612.18
Michael,2022,Mutual Funds,30965.41
Bob,2011,Bonds,40796.58
Michael,2012,Real Estate,20042.95
Sara,2012,Real Estate,6471.01
John,2020,Mutual Funds,38808.29
David,2015,Stocks,25018.01
Michael,2022,Real Estate,25316.52
Bob,2020,Stocks,16266.49
John,2019,Real Estate,17581.99
Alice,2021,Stocks,21404.55
Sophia,2013,Stocks,27919.02
Sara,2019,Bonds,5158.07
John,2015,Stocks,43167.78
Sophia,2012,Stocks,7993.18
Bob,2015,Real Estate,13880.99
Sara,2016,Real Estate,46127.29
John,2014,Bonds,48991.79
Sara,2019,Real Estate,2167.12
David,2011,Mutual Funds,10232.63
Bob,2015,Bonds,37613.14
Emma,2015,Mutual Funds,35174.13
Emma,2016,Stocks,14413.5
Emma,2013,Mutual Funds,33461.18
Alice,2018,Real Estate,16600.35
Sara,2012,Real Estate,39037.08
Bob,2010,Stocks,41549.02
Alice,2021,Real Estate,5461.86
Sophia,2011,Stocks,19931.9
Emma,2016,Bonds,48314.22
Emma,2019,Mutual Funds,1370.05
Sophia,2017,Stocks,37127.3
John,2021,Bonds,42956.93
Sara,2015,Mutual Funds,20974.54
Emma,2010,Stocks,45333.97
Eva,2010,Bonds,3697.68
Eva,2015,Mutual Funds,24678.82
John,2014,Mutual Funds,19001.34
Sophia,2012,Mutual Funds,24099.42
Sophia,2018,Stocks,2941.26
Oliver,2018,Bonds,30855.2
Emma,2018,Mutual Funds,32074.51
Michael,2016,Mutual Funds,40190.66
Bob,2011,Real Estate,39775.85
Emma,2012,Mutual Funds,1276.43
Eva,2017,Mutual Funds,37189.02
John,2012,Stocks,47174.25
Alice,2014,Stocks,1742.89
Sophia,2021,Real Estate,41891.88
Michael,2016,Stocks,11511.12
Emma,2018,Bonds,3412.24
Eva,2022,Bonds,17020.88
Bob,2018,Bonds,45300.21
John,2017,Real Estate,25773.55
Eva,2019,Stocks,9570.32
Eva,2016,Bonds,12915.27
Emma,2012,Real Estate,4865.91
Emma,2020,Real Estate,34031.64
Oliver,2014,Bonds,48535.48
Eva,2020,Mutual Funds,29314.9
